ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,AMESBURY INDUSTRIAL SUPPLY,AMESBURY INDUSTRIAL SUPPLY - AMESBURY - 12187,AMESBURY,MA,101-000                  ,51  - Mini-Ball Valves              ,$0,$96,($96),-100.0%,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-003NL                ,21  - Legend Press Ball Valves      ,$137,$163,($26),-15.9%,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-004NL                ,21  - Legend Press Ball Valves      ,$440,$392,$48,12.3%,Direct
Legend,GUSTAVE A. LARSON CO,DAIKIN COMFORT TECH  #101085 - NEW HAVEN - 2125379,NEW HAVEN,NJ,101-004NL                ,21  - Legend Press Ball Valves      ,"$1,887",$0,"$1,887",,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,101-004NL                ,21  - Legend Press Ball Valves      ,$0,$112,($112),-100.0%,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-005NL                ,21  - Legend Press Ball Valves      ,$191,$307,($115),-37.6%,Direct
Legend,GUSTAVE A. LARSON CO,DAIKIN COMFORT TECH  #101085 - NEW HAVEN - 2125379,NEW HAVEN,NJ,101-005NL                ,21  - Legend Press Ball Valves      ,$574,$0,$574,,Direct
Legend,GUSTAVE A. LARSON CO,DAIKIN COMFORT TECH  #101085 - NEW HAVEN - 2125379,NEW HAVEN,NJ,101-006NL                ,21  - Legend Press Ball Valves      ,"$1,447",$0,"$1,447",,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-007NL                ,21  - Legend Press Ball Valves      ,$0,$326,($326),-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - NEW HAVEN - 15530",NEW HAVEN,CT,101-010NL                ,21  - Legend Press Ball Valves      ,$635,$0,$635,,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-023NL                ,20  - Full Port Ball Valves         ,$0,$120,($120),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-024NL                ,20  - Full Port Ball Valves         ,$0,$197,($197),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,101-025                  ,20  - Full Port Ball Valves         ,$0,$11,($11),-100.0%,Direct
Legend,WINNELSON,WESTPORT WINWATER WORKS CO (#034) - WESTPORT - 178953,WESTPORT,MA,101-025NL                ,20  - Full Port Ball Valves         ,$203,$0,$203,,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - MANCHESTER - 178293,MANCHESTER,CT,101-026                  ,20  - Full Port Ball Valves         ,$108,$116,($7),-6.4%,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,101-044NL                ,20  - Full Port Ball Valves         ,($22),$0,($22),,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,101-045NL                ,20  - Full Port Ball Valves         ,($29),$0,($29),,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,101-046NL                ,20  - Full Port Ball Valves         ,($83),$0,($83),,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-046NL                ,20  - Full Port Ball Valves         ,$0,$50,($50),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-048NL                ,20  - Full Port Ball Valves         ,$0,$50,($50),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,101-061                  ,20  - Full Port Ball Valves         ,$0,$97,($97),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,101-061NL                ,20  - Full Port Ball Valves         ,$22,$0,$22,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-061NL                ,20  - Full Port Ball Valves         ,$73,$0,$73,,Direct
Legend,NORTH SHORE HEATING SUPPLY,NORTH SHORE HEATING SUPPLY - LYNN - 13378,LYNN,MA,101-063                  ,20  - Full Port Ball Valves         ,$107,$0,$107,,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-063NL                ,20  - Full Port Ball Valves         ,$66,$0,$66,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,101-063NL                ,20  - Full Port Ball Valves         ,$66,$0,$66,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-063NL                ,20  - Full Port Ball Valves         ,$133,$105,$28,26.5%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-063NL                ,20  - Full Port Ball Valves         ,$66,$0,$66,,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-064NL                ,20  - Full Port Ball Valves         ,$231,$0,$231,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-064NL                ,20  - Full Port Ball Valves         ,$231,$0,$231,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-064NL                ,20  - Full Port Ball Valves         ,$289,$0,$289,,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-065NL                ,20  - Full Port Ball Valves         ,$0,$139,($139),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,101-065NL                ,20  - Full Port Ball Valves         ,$0,$166,($166),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,101-065NL                ,20  - Full Port Ball Valves         ,$101,$0,$101,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-065NL                ,20  - Full Port Ball Valves         ,$0,$166,($166),-100.0%,Direct
Legend,R.A. MANLEY & SONS,R.A. MANLEY & SONS - PALMER - 10963,PALMER,MA,101-065NL                ,20  - Full Port Ball Valves         ,$0,$554,($554),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-065NL                ,20  - Full Port Ball Valves         ,$253,$0,$253,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-066NL                ,20  - Full Port Ball Valves         ,$57,$147,($91),-61.4%,Direct
Legend,R.A. MANLEY & SONS,R.A. MANLEY & SONS - PALMER - 10963,PALMER,MA,101-066NL                ,20  - Full Port Ball Valves         ,$0,$197,($197),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-066NL                ,20  - Full Port Ball Valves         ,$399,$0,$399,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-067NL                ,20  - Full Port Ball Valves         ,$76,$0,$76,,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-068NL                ,20  - Full Port Ball Valves         ,$117,$92,$24,26.3%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,101-068NL                ,20  - Full Port Ball Valves         ,$117,$0,$117,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-068NL                ,20  - Full Port Ball Valves         ,$117,$0,$117,,Direct
Legend,R.A. MANLEY & SONS,R.A. MANLEY & SONS - PALMER - 10963,PALMER,MA,101-068NL                ,20  - Full Port Ball Valves         ,$0,$92,($92),-100.0%,Direct
Legend,TURNPIKE PLBG & HTG #240400,TURNPIKE PLBG & HTG #240400 - OXFORD - 14784,OXFORD,MA,101-068NL                ,20  - Full Port Ball Valves         ,($583),$0,($583),,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-074                  ,50  - Specialty Ball Valves         ,$77,$0,$77,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,101-083NL                ,20  - Full Port Ball Valves         ,$66,$0,$66,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-083NL                ,20  - Full Port Ball Valves         ,$199,$157,$42,26.5%,Direct
Legend,R.A. MANLEY & SONS,R.A. MANLEY & SONS - PALMER - 10963,PALMER,MA,101-083NL                ,20  - Full Port Ball Valves         ,$0,$52,($52),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-084NL                ,20  - Full Port Ball Valves         ,$346,$91,$255,279.2%,Direct
Legend,R.A. MANLEY & SONS,R.A. MANLEY & SONS - PALMER - 10963,PALMER,MA,101-084NL                ,20  - Full Port Ball Valves         ,$0,$91,($91),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-085NL                ,20  - Full Port Ball Valves         ,$101,$83,$18,21.7%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-085NL                ,20  - Full Port Ball Valves         ,$169,$0,$169,,Direct
Legend,BETTS PLUMBING & HEATING SUPPLY #257200,BETTS PLUMBING & HEATING SUPPLY #257200 - WESTFIELD - 211651,WESTFIELD,MA,101-086NL                ,20  - Full Port Ball Valves         ,$0,$98,($98),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-086NL                ,20  - Full Port Ball Valves         ,$171,$0,$171,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,101-087NL                ,20  - Full Port Ball Valves         ,$76,$0,$76,,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-102NL                ,20  - Full Port Ball Valves         ,$21,$0,$21,,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-110NL                ,20  - Full Port Ball Valves         ,$0,$202,($202),-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - BRIDGEPORT - 11949",BRIDGEPORT,CT,101-149NL                ,50  - Specialty Ball Valves         ,$0,"$1,426","($1,426)",-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - HARTFORD - 16146",HARTFORD,CT,101-149NL                ,50  - Specialty Ball Valves         ,$0,"$1,104","($1,104)",-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - NEW HAVEN - 15530",NEW HAVEN,CT,101-149NL                ,50  - Specialty Ball Valves         ,$0,"$2,944","($2,944)",-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - WATERBURY - 13933",WATERBURY,CT,101-149NL                ,50  - Specialty Ball Valves         ,$0,$736,($736),-100.0%,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,101-149NL                ,50  - Specialty Ball Valves         ,$282,$0,$282,,Direct
Legend,"SEEKONK SUPPLY, INC","SEEKONK SUPPLY, INC - #106780 - PROVIDENCE - 176778",PROVIDENCE,MA,101-149NL                ,50  - Specialty Ball Valves         ,$0,$245,($245),-100.0%,Direct
Legend,THE PORTLAND GROUP,THE PORTLAND GROUP -MEDFORD - AD#PG02 - MEDFORD - 14873,MEDFORD,MA,101-149NL                ,50  - Specialty Ball Valves         ,$0,$50,($50),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - FALL RIVER-#068 - FALL RIVER - 15001,FALL RIVER,MA,101-149NL                ,50  - Specialty Ball Valves         ,$0,$319,($319),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - NEW BEDFORD-#069 - NEW BEDFORD - 15018,NEW BEDFORD,MA,101-149NL                ,50  - Specialty Ball Valves         ,$0,$245,($245),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - PLYMOUTH-#085 - PLYMOUTH - 187363,PLYMOUTH,MA,101-149NL                ,50  - Specialty Ball Valves         ,$0,$245,($245),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,101-149NL                ,50  - Specialty Ball Valves         ,$0,$980,($980),-100.0%,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-174P                 ,50  - Specialty Ball Valves         ,$160,$0,$160,,Direct
Legend,"BLAKE EQUIPMENT COMPANY, INC","BLAKE EQUIPMENT COMPANY, INC. - RUTLAND - 2122811",RUTLAND,NC,101-204NL                ,21  - Legend Press Ball Valves      ,$0,$129,($129),-100.0%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - HARTFORD - 1030246,HARTFORD,CT,101-206NL                ,21  - Legend Press Ball Valves      ,($38),$0,($38),,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-213NL                ,21  - Legend Press Ball Valves      ,$63,$0,$63,,Direct
Legend,ECONOMY PLBG. & HTG. #105710,ECONOMY PLBG. & HTG. #105710 - MATTAPAN - 14207,MATTAPAN,MA,101-213NL                ,21  - Legend Press Ball Valves      ,$627,$238,$389,163.6%,Direct
Legend,FERGUSON ENTERPRISES,FERGUSON ENT-BRIGHTON #1170 - BRIGHTON - 240906,BRIGHTON,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$0,$40,($40),-100.0%,Direct
Legend,FERGUSON ENTERPRISES,FERGUSON ENT-TAUNTON #985 - TAUNTON - 2120708,TAUNTON,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$238,$327,($89),-27.2%,Direct
Legend,FERGUSON ENTERPRISES,"J.D. DADDARIO CO., INC. #1157 - NATICK - 224279",NATICK,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$88,$0,$88,,Direct
Legend,FERGUSON ENTERPRISES,"J.D. DADDARIO CO., INC. #1196 - FRANKLIN - 10433",FRANKLIN,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$0,$258,($258),-100.0%,Direct
Legend,FERGUSON ENTERPRISES,"J.D. DADDARIO CO., INC. #1198 - NEWTON - 182632",NEWTON,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$50,$30,$20,68.7%,Direct
Legend,FERGUSON ENTERPRISES,P.V. SULLIVAN #3501 - QUINCY - 11441,QUINCY,VA,101-213NL                ,21  - Legend Press Ball Valves      ,$150,$0,$150,,Direct
Legend,HAJOCA,"PEABODY SUPPLY COMPANY, INC. #451 - KINGSTON - 177695",KINGSTON,NH,101-213NL                ,21  - Legend Press Ball Valves      ,$125,$0,$125,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,101-213NL                ,21  - Legend Press Ball Valves      ,"$6,896",$0,"$6,896",,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,101-213NL                ,21  - Legend Press Ball Valves      ,$0,"$1,982","($1,982)",-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,101-213NL                ,21  - Legend Press Ball Valves      ,$125,$0,$125,,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$103,$0,$103,,Direct
Legend,ECONOMY PLBG. & HTG. #105710,ECONOMY PLBG. & HTG. #105710 - MATTAPAN - 14207,MATTAPAN,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$823,$0,$823,,Direct
Legend,FERGUSON ENTERPRISES,FERGUSON ENT-BRIGHTON #1170 - BRIGHTON - 240906,BRIGHTON,VA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,$16,($16),-100.0%,Direct
Legend,FERGUSON ENTERPRISES,FERGUSON ENT-LYNN #400 - LYNN - 118580,LYNN,VA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,$65,($65),-100.0%,Direct
Legend,FERGUSON ENTERPRISES,"J.D. DADDARIO CO., INC. #1196 - FRANKLIN - 10433",FRANKLIN,VA,101-214NL                ,21  - Legend Press Ball Valves      ,$21,$0,$21,,Direct
Legend,HAJOCA,"PEABODY SUPPLY COMPANY, INC. #452 - METHUEN - 237950",METHUEN,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,$81,($81),-100.0%,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,101-214NL                ,21  - Legend Press Ball Valves      ,"$1,646",$0,"$1,646",,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,"$1,220","($1,220)",-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - PLYMOUTH-#085 - PLYMOUTH - 187363,PLYMOUTH,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,$163,($163),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY WAKEFIELD MA CO (#016) - WAKEFIELD - 10038,WAKEFIELD,MA,101-214NL                ,21  - Legend Press Ball Valves      ,$0,$81,($81),-100.0%,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,101-215NL                ,21  - Legend Press Ball Valves      ,$838,$0,$838,,Direct
Legend,"FLN-MAR RUBBER & PLASTICS, INC.","FLN-MAR RUBBER & PLASTICS, INC. - HOLYOKE - 15608",HOLYOKE,MA,101-226                  ,20  - Full Port Ball Valves         ,$280,$0,$280,,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - BRIDGEPORT - 11949",BRIDGEPORT,CT,101-251NL                ,50  - Specialty Ball Valves         ,$0,$147,($147),-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - WATERBURY - 13933",WATERBURY,CT,101-251NL                ,50  - Specialty Ball Valves         ,$0,$490,($490),-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - NEW HAVEN - 15530",NEW HAVEN,CT,101-271NL                ,50  - Specialty Ball Valves         ,$0,$98,($98),-100.0%,Direct
Legend,BENDER SUPPLY,"BENDER MANAGEMENT, INC. AD#BE81 - WATERBURY - 13933",WATERBURY,CT,101-271NL                ,50  - Specialty Ball Valves         ,$0,$196,($196),-100.0%,Direct
Legend,NORTH SHORE HEATING SUPPLY,NORTH SHORE HEATING SUPPLY - LYNN - 13378,LYNN,MA,101-271NL                ,50  - Specialty Ball Valves         ,$618,$0,$618,,Direct
Legend,"SEEKONK SUPPLY, INC","SEEKONK SUPPLY, INC - #106780 - PROVIDENCE - 176778",PROVIDENCE,MA,101-271NL                ,50  - Specialty Ball Valves         ,$315,$260,$55,21.0%,Direct
Legend,"SEEKONK SUPPLY, INC","SEEKONK SUPPLY, INC. - #106780 - REHOBOTH - 2118882",REHOBOTH,MA,101-271NL                ,50  - Specialty Ball Valves         ,$0,$260,($260),-100.0%,Direct
Legend,THE PORTLAND GROUP,THE PORTLAND GROUP -MEDFORD - AD#PG02 - MEDFORD - 14873,MEDFORD,MA,101-271NL                ,50  - Specialty Ball Valves         ,$0,$52,($52),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - PLYMOUTH-#085 - PLYMOUTH - 187363,PLYMOUTH,MA,101-271NL                ,50  - Specialty Ball Valves         ,$0,$780,($780),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,101-271NL                ,50  - Specialty Ball Valves         ,$0,$520,($520),-100.0%,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-274                  ,50  - Specialty Ball Valves         ,$206,$0,$206,,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-284                  ,50  - Specialty Ball Valves         ,$153,$0,$153,,Direct
Legend,AMESBURY INDUSTRIAL SUPPLY,AMESBURY INDUSTRIAL SUPPLY - AMESBURY - 12187,AMESBURY,MA,101-341                  ,51  - Mini-Ball Valves              ,$0,$50,($50),-100.0%,Direct
Legend,ACE PLUMBING SUPPLY- #257600,ACE PLUMBING SUPPLY- #257600 - BOSTON - 10036,BOSTON,MA,101-347                  ,51  - Mini-Ball Valves              ,$32,$0,$32,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,101-347                  ,51  - Mini-Ball Valves              ,$32,$0,$32,,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-383NL                ,22  - PEX Ball Valves               ,$0,$591,($591),-100.0%,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-384NL                ,22  - PEX Ball Valves               ,$0,$743,($743),-100.0%,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-385NL                ,22  - PEX Ball Valves               ,$0,"$1,007","($1,007)",-100.0%,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-393NL                ,22  - PEX Ball Valves               ,$0,$609,($609),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,101-393NL                ,22  - PEX Ball Valves               ,$46,$0,$46,,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-394NL                ,22  - PEX Ball Valves               ,$0,$775,($775),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,101-394NL                ,22  - PEX Ball Valves               ,$0,$121,($121),-100.0%,Direct
Legend,F.W. WEBB,F.W. WEBB - WINDHAM - WINDHAM - 2121330,WINDHAM,ME,101-395NL                ,22  - PEX Ball Valves               ,$0,"$1,034","($1,034)",-100.0%,Direct
Legend,AMESBURY INDUSTRIAL SUPPLY,AMESBURY INDUSTRIAL SUPPLY - AMESBURY - 12187,AMESBURY,MA,101-411                  ,20  - Full Port Ball Valves         ,$0,$315,($315),-100.0%,Direct
Legend,AMESBURY INDUSTRIAL SUPPLY,AMESBURY INDUSTRIAL SUPPLY - AMESBURY - 12187,AMESBURY,MA,101-413NL                ,20  - Full Port Ball Valves         ,$0,$55,($55),-100.0%,Direct
Legend,AMESBURY INDUSTRIAL SUPPLY,AMESBURY INDUSTRIAL SUPPLY - AMESBURY - 12187,AMESBURY,MA,101-416                  ,20  - Full Port Ball Valves         ,$0,$117,($117),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,101-420                  ,20  - Full Port Ball Valves         ,$0,$255,($255),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,101-420                  ,20  - Full Port Ball Valves         ,$0,$127,($127),-100.0%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - HARTFORD - 1030246,HARTFORD,CT,101-433NL                ,50  - Specialty Ball Valves         ,($17),$0,($17),,Direct
Legend,PLUMBERS' SUPPLY - MASS,PLUMBERS' SUPPLY -BEDFORD DIST #PS50 - NEW BEDFORD - 184197,NEW BEDFORD,MA,101-433NL                ,50  - Specialty Ball Valves         ,$134,$0,$134,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,101-433NL                ,50  - Specialty Ball Valves         ,$401,$0,$401,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,101-433NL                ,50  - Specialty Ball Valves         ,$0,$110,($110),-100.0%,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,101-434NL                ,50  - Specialty Ball Valves         ,$216,$0,$216,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,101-434NL                ,50  - Specialty Ball Valves         ,$0,$178,($178),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,101-434NL                ,50  - Specialty Ball Valves         ,"$8,930",$0,"$8,930",,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - HARTFORD - 1030246,HARTFORD,CT,101-435NL                ,50  - Specialty Ball Valves         ,($70),$0,($70),,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,101-435NL                ,50  - Specialty Ball Valves         ,$0,$145,($145),-100.0%,Direct
